"filename", "language", "cpp", "Database", "comment", "blank", "total"
"/home/samchau/Uni/OOProject/include/Drawable/DynamicSprite.cpp", "cpp", 74, 0, 0, 9, 83
"/home/samchau/Uni/OOProject/include/Drawable/Sprite.cpp", "cpp", 70, 0, 0, 27, 97
"/home/samchau/Uni/OOProject/include/Drawable/Text.cpp", "cpp", 67, 0, 0, 18, 85
"/home/samchau/Uni/OOProject/include/Entity/Brute.cpp", "cpp", 74, 0, 0, 8, 82
"/home/samchau/Uni/OOProject/include/Entity/Entity.cpp", "cpp", 89, 0, 0, 26, 115
"/home/samchau/Uni/OOProject/include/Entity/Golem.cpp", "cpp", 67, 0, 0, 11, 78
"/home/samchau/Uni/OOProject/include/Entity/Pilgrim.cpp", "cpp", 122, 0, 0, 8, 130
"/home/samchau/Uni/OOProject/include/Entity/Player.cpp", "cpp", 28, 0, 0, 7, 35
"/home/samchau/Uni/OOProject/include/Entity/Viking.cpp", "cpp", 122, 0, 0, 8, 130
"/home/samchau/Uni/OOProject/include/Instance/Game.cpp", "cpp", 64, 0, 0, 20, 84
"/home/samchau/Uni/OOProject/include/Instance/Path.cpp", "cpp", 3, 0, 0, 2, 5
"/home/samchau/Uni/OOProject/include/Instance/animations.db", "Database", 0, 13, 0, 0, 13
"/home/samchau/Uni/OOProject/include/State/MapState.cpp", "cpp", 192, 0, 0, 26, 218
"/home/samchau/Uni/OOProject/include/State/MenuState.cpp", "cpp", 130, 0, 0, 33, 163
"/home/samchau/Uni/OOProject/include/State/PickState.cpp", "cpp", 214, 0, 0, 36, 250
"/home/samchau/Uni/OOProject/include/State/PlayState.cpp", "cpp", 373, 0, 0, 68, 441
"/home/samchau/Uni/OOProject/include/State/PlayStateMac.cpp", "cpp", 386, 0, 0, 61, 447
"/home/samchau/Uni/OOProject/include/State/State.cpp", "cpp", 7, 0, 0, 1, 8
"Total", "-", 2082, 13, 0, 369, 2464
